Marca temporal;¿Cuál es su rol dentro de la universidad?;¿En qué rango de edad se encuentra?;¿Con qué genero se identifica?;Si es posible, indíquenos a qué facultad de la lista pertenece.;¿Conoce la diferencia entre astronomía y ciencias planetarias?;¿Qué desincentiva su interés al leer/investigar sobre ciencias planetarias?;¿Qué haría que aumentara su interés sobre las ciencias planetarias?;¿Le interesaría visitar un blog con artículos acerca del sistema solar?;¿Sobre qué cuerpo/objeto del sistema solar le interesaría aprender con mayor profundidad?;¿Sobre cuáles de estos temas relacionados con los cuerpos del sistema solar le interesaría conocer más?;1. ¿Qué científico colombiano tiene un cráter en la Luna con su nombre?;2. ¿Cuántos planetas tiene nuestro sistema solar;3. ¿Dónde está ubicado el cinturón de asteroides?;4. ¿Cuál es el planeta mas caliente del sistema solar?;5. Con una temperatura promedio de 201° bajo cero en superficie ¿cuál es el planeta más frío del sistema solar?;6. ¿Cuál es el planeta más grande del sistema solar?;7. ¿Quién fue el primer hombre en observar los satélites principales de Júpiter?;8. Uno de los espectáculos más impresionantes a nivel del sistema solar es la presencia de anillos alrededor de Saturno, ¿Cuál de los siguientes planetas también presenta anillos?;9. En comparación al año terrestre (365,25 días), ¿qué planeta del sistema solar tiene una menor duración en su año?;10. Los rovers Curiosity y Oportunity fueron desplegados en la superficie del planeta:;11. ¿Cómo se le llama a la nube esférica de objetos transneptunianos que se encuentra en los límites del sistema solar?
7/5/2020 22:23:41;Estudiante de pregrado o posgrado;Mas de 40 años;Masculino;Facultad de Derecho, Ciencias Políticas y Sociales;No;La información disponible es muy especializada;Contar con la información sintetizada;Sí;El sol;Las características físicas de los planetas;Julio Garavito Armero;7;Entre las órbitas de la Tierra y Marte;Mercurio;Neptuno;Júpiter;Galileo Galilei;Jupiter;Venus;Marte;Nube Nimbostrata
7/5/2020 23:03:45;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Medicina;No;No sé dónde encontrar información del tema;Tener un sitio de consulta confiable;Sí;El sol;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características físicas de los planetas, Las principales características de los cometas;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Mercurio;Neptuno;Júpiter;Galileo Galilei;Todas las anteriores;Mercurio;Marte;Nube de Oort
7/5/2020 23:07:16;Estudiante de pregrado o posgrado;25 a 30 años;Diverso;Facultad de Ciencias Humanas;No;La información disponible es muy especializada;Todas;Sí;El sol;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las características geoquímicas de los planetas, Las características físicas de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Venus;Neptuno;Júpiter;Nicolás Copérnico;Urano;Mercurio;Marte;Nube de Kuiper
7/6/2020 0:05:00;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ciencias Económicas;No;La información disponible es muy especializada;Conocer espacios de divulgación sobre estos temas;Sí;Marte;Las características atmosféricas de los planetas;Julio Garavito Armero;8;Entre las órbitas Júpiter y Saturno;Venus;Neptuno;Júpiter;Galileo Galilei;Todas las anteriores;Mercurio;Marte;Nube de Kuiper
7/6/2020 2:20:25;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ingeniería;No;La información disponible es muy especializada;Haber mayor divulgación de cursos que trabajen estos temas;Sí;Júpiter;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las características geoquímicas de los planetas, Las características físicas de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Venus;Neptuno;Júpiter;Galileo Galilei;Todas las anteriores;Mercurio;Marte;Nube de Oort
7/6/2020 3:43:23;Egresado;25 a 30 años;Femenino;Facultad de Enfermería;No;No sé dónde encontrar información del tema;Conocer espacios de divulgación sobre estos temas;Sí;El sol;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características geoquímicas de los planetas;Julio Garavito Armero;9;Entre las órbitas Júpiter y Saturno;Mercurio;Pluton;Júpiter;Galileo Galilei;Todas las anteriores;Mercurio;Marte;Nube de Oort
7/6/2020 6:22:46;Egresado;18 a 24 años;Femenino;Facultad de Ciencias Económicas;No;No sé dónde encontrar información del tema;Conocer espacios de divulgación sobre estos temas;Sí;El sol;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características físicas de los planetas, Las principales características de los cometas;Salomón Hakim;8;Entre las órbitas Júpiter y Saturno;Venus;Neptuno;Júpiter;Tycho Brahe;Urano;Mercurio;Marte;Nube Nimbostrata
7/6/2020 7:09:04;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Artes;No;No sé dónde encontrar información del tema;Tener un sitio de consulta confiable;Sí;Satélites;Las características atmosféricas de los planetas;Manuel Elkin Patarroyo;9;Entre las órbitas de Marte y Júpiter;Mercurio;Pluton;Júpiter;Galileo Galilei;Ninguna de las anteriores;Mercurio;Marte;Nube de Kuiper
7/6/2020 7:16:33;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Odontología;Sí;Nada me desincentiva, al contrario.;Conocer personas que compartan el mismo interes;Sí;Planetas enanos;Las características atmosféricas de los planetas;Salomón Hakim;8;Entre las órbitas de Marte y Júpiter;Venus;Neptuno;Júpiter;Tycho Brahe;Neptuno;Marte;Marte;Nube Nimbostrata
7/6/2020 7:57:22;Docente;Mas de 40 años;Masculino;Facultad de Ingeniería;No;No está relacionado con mi carrera/profesión;Tener un sitio de consulta confiable;Sí;Marte;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las características geoquímicas de los planetas, Las características físicas de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Mercurio;Neptuno;Júpiter;Nicolás Copérnico;Todas las anteriores;Mercurio;Marte;Nube de Oort
