Marca temporal;¿Cuál es su rol dentro de la universidad?;¿En qué rango de edad se encuentra?;¿Con qué genero se identifica?;Si es posible, indíquenos a qué facultad de la lista pertenece.;¿Conoce la diferencia entre astronomía y ciencias planetarias?;¿Qué desincentiva su interés al leer/investigar sobre ciencias planetarias?;¿Qué haría que aumentara su interés sobre las ciencias planetarias?;¿Le interesaría visitar un blog con artículos acerca del sistema solar?;¿Sobre qué cuerpo/objeto del sistema solar le interesaría aprender con mayor profundidad?;¿Sobre cuáles de estos temas relacionados con los cuerpos del sistema solar le interesaría conocer más?;1. ¿Qué científico colombiano tiene un cráter en la Luna con su nombre?;2. ¿Cuántos planetas tiene nuestro sistema solar;3. ¿Dónde está ubicado el cinturón de asteroides?;4. ¿Cuál es el planeta mas caliente del sistema solar?;5. Con una temperatura promedio de 201° bajo cero en superficie ¿cuál es el planeta más frío del sistema solar?;6. ¿Cuál es el planeta más grande del sistema solar?;7. ¿Quién fue el primer hombre en observar los satélites principales de Júpiter?;8. Uno de los espectáculos más impresionantes a nivel del sistema solar es la presencia de anillos alrededor de Saturno, ¿Cuál de los siguientes planetas también presenta anillos?;9. En comparación al año terrestre (365,25 días), ¿qué planeta del sistema solar tiene una menor duración en su año?;10. Los rovers Curiosity y Oportunity fueron desplegados en la superficie del planeta:;11. ¿Cómo se le llama a la nube esférica de objetos transneptunianos que se encuentra en los límites del sistema solar?
5/23/2020 20:53:30;Estudiante de pregrado o posgrado;Menos de 18 años;Masculino;Facultad de Ingeniería;No;No he llegado a buscar;Conocer espacios de divulgación sobre estos temas;Sí;Júpiter;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características físicas de los planetas;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Mercurio;Neptuno;Júpiter;Galileo Galilei;Todas las anteriores;Mercurio;Marte;Nube de Kuiper
5/23/2020 21:08:08;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ciencias;Sí;No sé dónde encontrar información del tema;Conocer espacios de divulgación sobre estos temas;Sí;Satélites;Las principales características de los asteroides;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Mercurio;Neptuno;Júpiter;Galileo Galilei;Ninguna de las anteriores;Mercurio;Marte;Nube de Oort
5/23/2020 21:11:29;Estudiante de pregrado o posgrado;25 a 30 años;Masculino;Facultad de Ciencias Económicas;No;No está relacionado con mi carrera/profesión;Conocer personas que compartan el mismo interes;No;El sol;Las principales características de los cometas;Francisco José de Caldas;8;Entre las órbitas Júpiter y Saturno;Marte;Pluton;Júpiter;Galileo Galilei;Neptuno;Marte;Marte;Nube de Oort
5/23/2020 21:15:59;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Ciencias;Sí;No sé dónde encontrar información del tema;Tener un sitio de consulta confiable;Sí;Satélites;Las características atmosféricas de los planetas, Las características físicas de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Venus;Neptuno;Júpiter;Galileo Galilei;Todas las anteriores;Marte;Marte;Nube de Oort
5/23/2020 21:16:40;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Ciencias;Sí;No me desincentiva;Conocer personas que compartan el mismo interes;Sí;Planetas enanos;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las características geoquímicas de los planetas, Las características físicas de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Mercurio;Neptuno;Júpiter;Galileo Galilei;Todas las anteriores;Mercurio;Marte;Nube de Oort
5/23/2020 21:19:26;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ciencias;No;No sé dónde encontrar información del tema;Tener un sitio de consulta confiable;Sí;El sol;Las características geoquímicas de los planetas;Francisco José de Caldas;8;Entre las órbitas Júpiter y Saturno;Mercurio;Neptuno;Júpiter;Nicolás Copérnico;Ninguna de las anteriores;Mercurio;Marte;Nube de Oort
5/23/2020 21:22:37;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ingeniería;Sí;No está relacionado con mi carrera/profesión;Conocer espacios de divulgación sobre estos temas;Sí;El sol;Las características físicas de los planetas;Julio Garavito Armero;9;Entre las órbitas de Marte y Júpiter;Venus;Neptuno;Júpiter;Galileo Galilei;Todas las anteriores;Mercurio;Marte;Nube de Oort
5/23/2020 21:26:29;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ingeniería;Sí;No está relacionado con mi carrera/profesión;Conocer personas que compartan el mismo interes;Sí;Planetas enanos;Las características de los satélites de los planetas, Las características geoquímicas de los planetas, Las características físicas de los planetas;Salomón Hakim;8;Entre las órbitas de Marte y Júpiter;Mercurio;Neptuno;Saturno;Tycho Brahe;Ninguna de las anteriores;Mercurio;Marte;Nube de Oort
5/23/2020 21:30:29;Estudiante de pregrado o posgrado;Menos de 18 años;Masculino;Facultad de Ciencias;No;No sé dónde encontrar información del tema;Contar con la información sintetizada;Sí;Saturno;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características geoquímicas de los planetas;Julio Garavito Armero;9;Entre las órbitas Júpiter y Saturno;Venus;Pluton;Júpiter;Galileo Galilei;Urano;Mercurio;Marte;Nube de Kuiper
5/23/2020 21:30:54;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ingeniería;No;No sé dónde encontrar información del tema;Tener un sitio de consulta confiable;Sí;Marte;Las características geológicas de los planetas, Las características atmosféricas de los planetas;Francisco José de Caldas;8;Entre las órbitas de Marte y Júpiter;Mercurio;Neptuno;Saturno;Nicolás Copérnico;Jupiter;Mercurio;Marte;Nube de Oort
5/23/2020 21:31:47;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ingeniería;No;No sé dónde encontrar información del tema;Todas las anteriores ;Sí;Saturno;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las características geoquímicas de los planetas, Las características físicas de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Salomón Hakim;8;Entre las órbitas Júpiter y Saturno;Mercurio;Neptuno;Júpiter;Galileo Galilei;Ninguna de las anteriores;Venus;Marte;Nube de Kuiper
5/23/2020 21:32:19;Estudiante de pregrado o posgrado;25 a 30 años;Masculino;Facultad de Ciencias Agrarias;No;No está relacionado con mi carrera/profesión;Contar con la información sintetizada;Sí;El sol;Las características atmosféricas de los planetas;Julio Garavito Armero;8;Entre las órbitas Júpiter y Saturno;Venus;Pluton;Júpiter;Nicolás Copérnico;Neptuno;Mercurio;Marte;Nube de Kuiper
5/23/2020 21:32:24;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Ciencias;No;La información disponible es muy especializada;Contar con la información sintetizada;Sí;Venus;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Francisco José de Caldas;8;Entre las órbitas de Marte y Júpiter;Venus;Neptuno;Júpiter;Nicolás Copérnico;Ninguna de las anteriores;Mercurio;Marte;Nube de Oort
5/23/2020 21:35:51;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Medicina;No;No sé dónde encontrar información del tema;Conocer personas que compartan el mismo interes;Sí;La Tierra;Las características físicas de los planetas;Salomón Hakim;9;Entre las órbitas Júpiter y Saturno;Marte;Neptuno;Júpiter;Nicolás Copérnico;Jupiter;Mercurio;Mercurio;Nube de Kuiper
5/23/2020 21:36:42;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Medicina, Veterinaria y de Zootecnia;No;No está relacionado con mi carrera/profesión;Conocer espacios de divulgación sobre estos temas;Sí;Marte;Las características geológicas de los planetas, Las características atmosféricas de los planetas;Salomón Hakim;9;Entre las órbitas de Marte y Júpiter;Mercurio;Pluton;Júpiter;Nicolás Copérnico;Neptuno;Mercurio;Marte;Nube de Oort
5/23/2020 21:36:54;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Ciencias Humanas;No;No está relacionado con mi carrera/profesión;Conocer personas que compartan el mismo interes;Sí;El sol;Las características de los satélites de los planetas, Las características geoquímicas de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Francisco José de Caldas;8;Entre las órbitas Júpiter y Saturno;Venus;Pluton;Saturno;Galileo Galilei;Urano;Mercurio;Venus;Nube de Kuiper
5/23/2020 21:36:56;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Medicina, Veterinaria y de Zootecnia;No;No sé dónde encontrar información del tema;Tener un sitio de consulta confiable;Sí;Satélites;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las características geoquímicas de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Salomón Hakim;9;Entre las órbitas Júpiter y Saturno;Mercurio;Neptuno;Saturno;Nicolás Copérnico;Jupiter;Mercurio;Marte;Nube Nimbostrata
5/23/2020 21:38:57;Estudiante de pregrado o posgrado;18 a 24 años;Helicóptero  apache;Facultad de Ciencias Humanas;Sí;No tiene una aplicación práctica;Contar con la información sintetizada;No;Saturno;Las características geoquímicas de los planetas;Julio Garavito Armero;9;Entre las órbitas de Marte y Júpiter;Venus;Neptuno;Júpiter;Galileo Galilei;Todas las anteriores;Mercurio;Marte;Nube de Oort
5/23/2020 21:42:30;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Ciencias Humanas;No;Quizá la extensión del tema en sí mismo y la falta de orientación en la búsqueda y selección adecuada de información.;Conocer espacios de divulgación sobre estos temas;Sí;Satélites;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las características físicas de los planetas;Salomón Hakim;8;Entre las órbitas Júpiter y Saturno;Mercurio;Neptuno;Júpiter;Galileo Galilei;Jupiter;Mercurio;Marte;Nube Nimbostrata
5/23/2020 21:44:09;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Ciencias Humanas;Sí;No sé dónde encontrar información del tema;Tener un sitio de consulta confiable;Sí;Júpiter;Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las características geoquímicas de los planetas, Las principales características de los cometas;Julio Garavito Armero;9;Entre las órbitas Júpiter y Saturno;Venus;Neptuno;Júpiter;Nicolás Copérnico;Ninguna de las anteriores;Mercurio;Marte;Nube de Oort
5/23/2020 21:44:34;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Derecho, Ciencias Políticas y Sociales;No;No sé dónde encontrar información del tema;Conocer espacios de divulgación sobre estos temas;Sí;Júpiter;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características geoquímicas de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Julio Garavito Armero;8;Entre las órbitas Júpiter y Saturno;Mercurio;Neptuno;Saturno;Galileo Galilei;Todas las anteriores;Mercurio;Marte;Nube de Oort
5/23/2020 21:46:02;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Ingeniería;No;La información disponible es muy especializada;Conocer espacios de divulgación sobre estos temas;Sí;Satélites;Las características geoquímicas de los planetas;Julio Garavito Armero;9;Entre las órbitas Júpiter y Saturno;Venus;Pluton;Saturno;Nicolás Copérnico;Jupiter;Venus;Marte;Nube de Oort
5/23/2020 21:49:21;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Artes;No;La información disponible es muy especializada;Contar con la información sintetizada;Sí;El sol;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las características geoquímicas de los planetas, Las características físicas de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Mercurio;Neptuno;Júpiter;Tycho Brahe;Jupiter;Marte;Marte;Nube de Kuiper
5/23/2020 21:52:03;Estudiante de pregrado o posgrado;25 a 30 años;Masculino;Facultad de Ingeniería;No;No sé dónde encontrar información del tema;Conocer espacios de divulgación sobre estos temas;Sí;Marte;Las características atmosféricas de los planetas;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Venus;Neptuno;Júpiter;Galileo Galilei;Urano;Venus;Marte;Nube de Oort
5/23/2020 21:54:39;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Ciencias;Sí;La información disponible es muy especializada;Conocer espacios de divulgación sobre estos temas;Sí;Júpiter;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las características geoquímicas de los planetas;Francisco José de Caldas;8;Entre las órbitas de Marte y Júpiter;Venus;Neptuno;Júpiter;Galileo Galilei;Todas las anteriores;Mercurio;Marte;Nube de Oort
5/23/2020 21:56:10;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Ingeniería;Sí;No sé dónde encontrar información del tema;Tener un sitio de consulta confiable;Sí;Satélites;Las características geoquímicas de los planetas, Las características físicas de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Julio Garavito Armero;9;Entre las órbitas de Marte y Júpiter;Venus;Neptuno;Saturno;Galileo Galilei;Todas las anteriores;Mercurio;Marte;Nube de Oort
5/23/2020 22:01:10;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ciencias;No;No tiene una aplicación práctica;Conocer personas que compartan el mismo interes;Sí;El sol;Las características geológicas de los planetas, Las principales características de los asteroides;Francisco José de Caldas;7;Entre las órbitas de Marte y Júpiter;Mercurio;Neptuno;Júpiter;Galileo Galilei;Todas las anteriores;Mercurio;Marte;Nube de Oort
5/23/2020 22:03:16;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Artes;No;La información disponible es muy especializada;Contar con la información sintetizada;Sí;Venus;Las características geológicas de los planetas, Las características de los satélites de los planetas, Las características geoquímicas de los planetas, Las características físicas de los planetas, Las principales características de los cometas;Manuel Elkin Patarroyo;8;Entre las órbitas Júpiter y Saturno;Marte;Neptuno;Saturno;Galileo Galilei;Ninguna de las anteriores;Mercurio;Marte;Nube Nimbostrata
5/23/2020 22:05:57;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ciencias Humanas;No;No está relacionado con mi carrera/profesión;Conocer personas que compartan el mismo interes;No;Júpiter;Las características geológicas de los planetas, Las características geoquímicas de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Salomón Hakim;9;Entre las órbitas Júpiter y Saturno;Mercurio;Pluton;Saturno;Nicolás Copérnico;Urano;Neptuno;Marte;Nube de Oort
5/23/2020 22:06:36;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Ciencias;No;No tiene una aplicación práctica;Conocer personas que compartan el mismo interes;Sí;Marte;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características geoquímicas de los planetas, Las características físicas de los planetas;Salomón Hakim;8;Entre las órbitas de Marte y Júpiter;Mercurio;Neptuno;Júpiter;Nicolás Copérnico;Ninguna de las anteriores;Mercurio;Marte;Nube de Oort
5/23/2020 22:09:25;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Ciencias;No;La información disponible es muy especializada;Contar con la información sintetizada;Sí;Planetas enanos;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las características geoquímicas de los planetas, Las características físicas de los planetas;Julio Garavito Armero;8;Entre las órbitas Júpiter y Saturno;Mercurio;Pluton;Júpiter;Nicolás Copérnico;Ninguna de las anteriores;Mercurio;Marte;Nube de Oort
5/23/2020 22:14:33;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ingeniería;No;No sé dónde encontrar información del tema;Conocer espacios de divulgación sobre estos temas;Sí;Saturno;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las características físicas de los planetas, Las principales características de los cometas;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Venus;Neptuno;Júpiter;Nicolás Copérnico;Jupiter;Mercurio;Marte;Nube de Kuiper
5/23/2020 22:17:29;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ingeniería;No;No sé dónde encontrar información del tema;Conocer espacios de divulgación sobre estos temas;Sí;Júpiter;Las características geoquímicas de los planetas, Las características físicas de los planetas;Julio Garavito Armero;8;Entre las órbitas Júpiter y Saturno;Marte;Pluton;Júpiter;Nicolás Copérnico;Neptuno;Marte;Marte;Nube Nimbostrata
5/23/2020 22:17:38;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Ciencias;No;No sé dónde encontrar información del tema;Conocer personas que compartan el mismo interes;Sí;Satélites;Las características de los satélites de los planetas;Salomón Hakim;8;Entre las órbitas de Marte y Júpiter;Venus;Neptuno;Júpiter;Galileo Galilei;Todas las anteriores;Venus;Marte;Nube de Oort
5/23/2020 22:18:24;Egresado;18 a 24 años;Masculino;Facultad de Ciencias;Sí;No me gustan mucho los sensores remotos, y la investigación sobre material directo es bastante escaso. Además es una rama que poco estudie durante la carrera y poco me gusto.;Tener un sitio de consulta confiable;Sí;Satélites;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las características geoquímicas de los planetas;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Mercurio;Neptuno;Júpiter;Galileo Galilei;Todas las anteriores;Mercurio;Marte;Nube de Oort
5/23/2020 22:27:33;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ciencias;Sí;No sé dónde encontrar información del tema;Conocer espacios de divulgación sobre estos temas;Sí;Satélites;Las características de los satélites de los planetas, Las características geoquímicas de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Venus;Neptuno;Júpiter;Galileo Galilei;Urano;Mercurio;Marte;Nube de Oort
5/23/2020 22:28:30;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ciencias;Sí;La información disponible es muy especializada;Todos los anteriores ;Sí;Satélites;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las características geoquímicas de los planetas, Las características físicas de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Venus;Neptuno;Júpiter;Galileo Galilei;Todas las anteriores;Mercurio;Marte;Nube de Oort
5/23/2020 22:29:13;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Ciencias;No;Si está relacionado con astronomía, astrofísica y el estudio de los cuerpos celestes, esos temas nunca me han llamado la atención.;Conocer personas que compartan el mismo interes;No;Tal vez los sistemas de estrellas binarias.;Las características físicas de los planetas;Salomón Hakim;9;Entre las órbitas Júpiter y Saturno;Marte;Pluton;Júpiter;Tycho Brahe;Jupiter;Marte;Marte;Nube Nimbostrata
5/23/2020 22:31:00;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Ciencias Económicas;Sí;La información disponible es muy especializada;Conocer espacios de divulgación sobre estos temas;Sí;El sol;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Venus;Pluton;Júpiter;Galileo Galilei;Todas las anteriores;Mercurio;Marte;Nube de Google
5/23/2020 22:33:09;Estudiante de pregrado o posgrado;Menos de 18 años;Masculino;Facultad de Ingeniería;No;Me llama la atención, pero pierdo el interés muy fácilmente;Conocer espacios de divulgación sobre estos temas;No;Satélites;Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las principales características de los cometas;Salomón Hakim;7;Entre las órbitas Júpiter y Saturno;Venus;Neptuno;Júpiter;Galileo Galilei;Urano;Mercurio;Marte;Nube de Kuiper
5/23/2020 22:38:26;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;;No;No sé dónde encontrar información del tema;Tener un sitio de consulta confiable;Sí;Satélites;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las características geoquímicas de los planetas, Las características físicas de los planetas;Julio Garavito Armero;8;Entre las órbitas de Venus y la Tierra;Venus;Neptuno;Júpiter;Tycho Brahe;Todas las anteriores;Mercurio;Urano;Nube de Kuiper
5/23/2020 22:38:45;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ciencias;Sí;Tengo otro interés afín a mi carrera;Conocer espacios de divulgación sobre estos temas;Sí;El sol;Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las características físicas de los planetas, Las principales características de los cometas;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Venus;Neptuno;Júpiter;Galileo Galilei;Todas las anteriores;Mercurio;Marte;Nube de Oort
5/23/2020 22:43:38;Egresado;18 a 24 años;Masculino;Facultad de Ciencias Humanas;Sí;La información disponible es muy especializada;Tener un sitio de consulta confiable;Sí;Júpiter;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Julio Garavito Armero;9;Entre las órbitas de Marte y Júpiter;Mercurio;Pluton;Júpiter;Galileo Galilei;Jupiter;Mercurio;Marte;Nube de Oort
5/23/2020 22:48:13;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Ciencias;Sí;La información disponible es muy especializada;Contar con la información sintetizada;Sí;El sol;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las características geoquímicas de los planetas, Las características físicas de los planetas;Salomón Hakim;9;Entre las órbitas Júpiter y Saturno;Mercurio;Pluton;Saturno;Nicolás Copérnico;Jupiter;Mercurio;Marte;Nube Nimbostrata
5/23/2020 22:54:32;Estudiante de pregrado o posgrado;Menos de 18 años;Femenino;Facultad de Ciencias;No;La información disponible es muy especializada;Contar con la información sintetizada;Sí;Saturno;Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Mercurio;Neptuno;Júpiter;Galileo Galilei;Ninguna de las anteriores;Marte;Marte;Nube de Oort
5/23/2020 22:55:05;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ingeniería;No;La información disponible es muy especializada;Conocer espacios de divulgación sobre estos temas;Sí;Marte;Las características geológicas de los planetas, Las características físicas de los planetas, Las principales características de los cometas;Francisco José de Caldas;8;Entre las órbitas de Marte y Júpiter;Venus;Neptuno;Júpiter;Galileo Galilei;Urano;Mercurio;Marte;Nube de Oort
5/23/2020 22:56:38;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ingeniería;Sí;La información disponible es muy especializada;Conocer espacios de divulgación sobre estos temas;Sí;El sol;Las características atmosféricas de los planetas, Las características geoquímicas de los planetas;Julio Garavito Armero;9;Entre las órbitas de Marte y Júpiter;Mercurio;Neptuno;Júpiter;Galileo Galilei;Todas las anteriores;Venus;Marte;Nube de Oort
5/23/2020 23:02:56;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Ciencias;Sí;Tiempo;Conocer personas que compartan el mismo interes;Sí;El sol;Las características geológicas de los planetas;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Venus;Neptuno;Júpiter;Galileo Galilei;Todas las anteriores;Mercurio;Marte;Nube de Oort
5/23/2020 23:03:26;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ingeniería;No;La información disponible es muy especializada;Conocer espacios de divulgación sobre estos temas;Sí;Marte;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las características geoquímicas de los planetas, Las características físicas de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Julio Garavito Armero;8;Entre las órbitas Júpiter y Saturno;Mercurio;Neptuno;Júpiter;Galileo Galilei;Jupiter;Venus;Marte;Nube de Kuiper
5/23/2020 23:05:28;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ciencias;No;No sé dónde encontrar información del tema;Conocer espacios de divulgación sobre estos temas;Sí;Planetas enanos;Las características de los satélites de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Venus;Neptuno;Júpiter;Galileo Galilei;Todas las anteriores;Mercurio;Marte;Nube de Oort
5/23/2020 23:07:47;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ciencias;Sí;No sé dónde encontrar información del tema;Contar con la información sintetizada;Sí;Júpiter;Las características físicas de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Venus;Neptuno;Júpiter;Galileo Galilei;Ninguna de las anteriores;Mercurio;Marte;Nube de Oort
5/23/2020 23:08:25;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ciencias;No;No sé dónde encontrar información del tema;Conocer espacios de divulgación sobre estos temas;Sí;Planetas enanos;Las características atmosféricas de los planetas, Las características físicas de los planetas;Julio Garavito Armero;9;Entre las órbitas de Marte y Júpiter;Venus;Neptuno;Júpiter;Tycho Brahe;Urano;Mercurio;Marte;Nube de Kuiper
5/23/2020 23:12:14;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Artes;No;No se ni por donde empezar, entonces creo  que resultaría muy fácil perderme al ni siquiera tener conceptos básicos.;En mi caso, las opciones 2, 3, y 4 serían ideales.;Sí;El sol;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las características geoquímicas de los planetas, Las características físicas de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Julio Garavito Armero;8;Entre las órbitas Júpiter y Saturno;Mercurio;Pluton;Saturno;Isaac Newton;Ninguna de las anteriores;Mercurio;Marte;Nube de Google
5/23/2020 23:27:08;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ingeniería;No;No está relacionado con mi carrera/profesión;Conocer espacios de divulgación sobre estos temas;No;Satélites;Las principales características de los cometas;Julio Garavito Armero;7;Entre las órbitas Júpiter y Saturno;Mercurio;Pluton;Júpiter;Nicolás Copérnico;Jupiter;Mercurio;Marte;Nube de Kuiper
5/23/2020 23:31:15;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Derecho, Ciencias Políticas y Sociales;Sí;No tengo desinterés en aprender. Estudio otra cosa, pero no tengo desinterés. ;Todas las anteriores. ;Sí;Debería ser de opción múltiple. El Sol, Saturno y los satélites, dentro de los que suscitan mayor interés;Las características atmosféricas de los planetas, Las características geoquímicas de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Salomón Hakim;8;Entre las órbitas de Marte y Júpiter;Mercurio;Neptuno;Júpiter;Galileo Galilei;Urano;Mercurio;Marte;Nube de Kuiper
5/24/2020 0:08:15;Estudiante de pregrado o posgrado;Menos de 18 años;Masculino;Facultad de Ingeniería;No;No está relacionado con mi carrera/profesión;Conocer espacios de divulgación sobre estos temas;Sí;Saturno;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características geoquímicas de los planetas;Julio Garavito Armero;8;Entre las órbitas de la Tierra y Marte;Mercurio;Neptuno;Júpiter;Tycho Brahe;Ninguna de las anteriores;Mercurio;Marte;Nube de Kuiper
5/24/2020 0:08:27;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Medicina;No;La información disponible es muy especializada;Conocer personas que compartan el mismo interes;Sí;El sol;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las características geoquímicas de los planetas, Las características físicas de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Francisco José de Caldas;9;Entre las órbitas de la Tierra y Marte;Mercurio;Pluton;Júpiter;Galileo Galilei;Urano;Neptuno;Mercurio;Nube de Kuiper
